driver,text,grand_prix,conference_type,team
Sergio Pérez,"Yeah, I mean, it's how it is. Sometimes everything can be really close. But at the end of the day, I’ve got to be happy. You know, I gave it all. We gave it all through the season. And I'm sure we will come back stronger for next year. Well, certainly, you know, we had great moments, great battling. I struggled a bit with these tyres this year, you know, in terms of managing the tyres in the race. So hopefully that can be something that we will improve for next year, and generally just be a bit stronger. Thank you, mate. Well, I think it's how this sport really works. You know, sometimes you win and sometimes you lose. Today, I think Ferrari and Charles did a fantastic race. They have great tyre management. And they were stronger than us, especially on that first stint. I died towards the end. And that made it a little bit tricky, our strategy. And it was that second stint, while I was behind Max, Max was on a one-stop, I was on a two-stop, and then I ended-up not being able to, to maximise this stint, and I couldn't push as much as we should have pushed on that second stint. But at the end of the day, we gave it all. And that's what really matters. Yeah, we were discussing it at some points. But, yeah, I think we thought that the deg was going to be higher than it really is. And we just didn't push as much as we should have pushed on that second stint, and probably will left two seconds on the table there. Yeah, it's been… like Max said, how we started the first few races as a team, with the reliability issues that we had, to come away and have done such a strong job as a team, it's very encouraging. And I really hope that we can keep this momentum going for Red Bull, and come back next year even stronger. I believe that the competition will be a lot closer for next year. So, I really hope that we can keep this momentum going. Time to relax a bit, play some golf, get the handicap down. Yeah, that was always the plan for us. We, we knew we were going on to the two-stop. And by the way, we probably thought after the first stint that the deg was higher than it was really in the end, so we didn't push as much as we should on the two-stop, especially in the second stint. Well, I certainly lost a bit, probably a second or so or probably more. It was clearly blue flags, but he was in a fight and it's pretty hard not to give up the position. I think he was thinking to go for the move but I just end up being there and I thought he left it opens. I went for it and luckily I could brake at the last minute otherwise there would have been contact so I think in normal conditions that will certainly be a penalty for Pierre but it is the last race. I'm just happy to go home, don't discuss anything and it's how it goes sometimes. So nothing really more to add.",Abu Dhabi,post-race,Red Bull
Charles Leclerc,"Yeah, it did. I was 110% from the first lap to the last lap. Honestly, we had the perfect race for us, there was not much more today. I knew that the only possibility for us to beat Checo today was with a different strategy and playing with the tyre management, which we did really well today. And we managed to make the one-stop work. So really, really happy. Yeah, thank you. I mean, I really hope next year we can do a step forward in order to fight for the championship. But considering where we were last year, it's a really big step forward. I think we improved throughout the end of the season in terms of strategy. We still need to work in terms of race pace, because coming to Sunday we seem to struggle a bit more. But we'll push during the winter break in order to catch them back a little. It, it was really, really tricky. Especially at the end of the stint on the Hard, even though we did a really, really good management to be honest. It’s tricky, because when you get to the end of the race, the front-locking started to become a problem, so it was very easy to do a mistake. But at the end, we kept everything under control and managed to keep Checo behind. But I think today was a really, really perfect execution from our side. I don't think we had the pace of the Red Bulls still, and our goal from the beginning was to try and push Checo do something different, which we did perfectly. And again, with a great tyre management, we made the one-stop work, which eventually got us the second place. It was really difficult, especially on the Medium starts because obviously you do the first part of the race trying not to fight too much. But obviously in the first few laps Lewis was quite close after that. I don't know what happened, I think he had to give the position back to Carlos. And then at that point, I could manage my tyres a little bit better. It gave me a little bit of breathing space. And then from that moment onwards, then I think we did a great job. The plan was always to do a one-stop. But yeah, we managed to push them into doing two stops. It's difficult to sum it up. I mean, obviously, if I take a step back, considering from how far we come from last year, it's an amazing step forward. But obviously I cannot ignore our middle part of the season that has been super-frustrating. We went from leading the Championship with quite a bit of points to being behind by quite a bit of points. And that was a frustrating part of the of the season. So yeah, all in all, we just need to take all the mistakes that we've done this year and try to improve for next year. I think we really did some step forwards in terms of strategy and the way we have been taking decisions recently, in the last few races. Unfortunately, it was a bit more difficult to show it because the pace is not as good as the beginning of the season. But I'm confident that in terms of pace, we will manage to catch Red Bull back next year. Oh, pretty similar to Max. Try to do the least things possible. Obviously it's a long season and next year is going to be even longer. So yeah, I'll just relax with family and friends. Well, I think it was a combination of changing the setup from Friday to Saturday and putting a bit more importance on the race, and, and obviously the driving style also that I've changed quite a bit overnight from Friday to Saturday. And this paid off today. Yeah, I agree. I think we are all prepared for longer seasons. I hope it will be tight. It's always nice to have a fight until the until the end. But yeah, I'm prepared for more races and for a longer fight hopefully. I honestly, I mean, not I, but we, honestly don't believe that this has hurt us. We don't believe that it has hurt us. But, yeah, obviously, we've been looking into it quite a lot and we don't think it's coming from that. Well, honestly there are three key elements. It’s difficult to rank them but reliability has been a problem at one point of the season, which we paid the price for later on with penalties and other things. Strategy, I think we've done too many mistakes at one point of the season and tyre management. We haven't been consistent enough at our 100%. Today was a good race but we also sometimes have very bad races and we don't seem to have the understanding yet of how to have a good tyre management all the time. So these are the three key aspects in which we are focusing on at the moment. I felt like strategy has been definitely a step forward in the last few races, as I was saying before. Difficult to show because we don't have the pace that we had at the beginning of the year but the way we communicate, the way we take decisions is better. Of course, there was a few mistakes, but I think we took better decisions coming race day. Tyres, strategy and obviously reliability that we cannot forget are the three things that we'll be focusing on. Well, if anything, I could have pushed less on some occasions like in France, but no, I think in the first few years, there was always an area in particular where I was focusing on because I knew it was a weak point. I think now, it's been quite a few years that I'm in Formula 1 and it's more about getting the details and being at my 100% as often as possible. So, yeah, this is where I will try to focus on next year to try and be on my 100%. And then I'm confident that whenever I'm at my 100% I am really good.",Abu Dhabi,post-race,Ferrari
Max Verstappen,"Yeah, it was a good race. It was all about tyre management. I think we looked after the Mediums quite well. And then on the Hard tyres it was literally managing from lap one to the end, but incredible, you know, to win again here and 15th win of the season is unbelievable. It's been really enjoyable, you know, to work with the whole team and to be able to achieve something like this this year. I know it's going to be hard to replicate something like this. But it's also very good motivation to try and do well again next year. It was a good race. I knew that if I would want to do a two-stop, it was a little bit compromised because I didn’t have two Hard tyres, so my target was always to try and make sure that the one-stop was going to work. On the Medium tyres initially, I think we had very good pace – just my last three laps on that tyre was a little more tricky but I had to get to a certain lap, right? And I think we managed to extend that stint quite well. And, yeah, once I put the hard tyres on, I brought them in quite nicely because I had a good gap. And at one point, I wanted to go a little bit faster, but we were still not sure if the tyre was going to hold on for the whole stint to the end. So, it was a bit of management to see if you could make it but then at one point, I hit, kind of a crossover where then the two-stop is not going to work anymore. But luckily, at that point, the tyres were really good and I could just continue to the end. Yeah, it was very nice. Ah, completely different weekend. I mean, Brazil, we had a lot of struggles. And I think we understood already quite a bit what went wrong there. But yeah, from the start, we were a lot more competitive here. It has been a great team effort, especially after our tough start to the year, to turn it around like that, I would have never imagined that, like nobody in the team. But it's been really enjoyable to be part of this team. We have a lot of fun. Of course, we focus on the performance but you also need to really enjoy the moment, appreciate the moment. And I think we definitely did that. We will do but we already also focusing on next year. You always say you try to do better. I know it's hard to do a lot better than this but you should always try to aim for that. Spa. Try not to do too much! Relax a bit, have holidays, spend time with family and friends. I do think it will be closer. People are understanding the cars a lot more. And, yeah, over time all the teams will just edge closer. But from our side, yeah, it's been a really positive weekend. So that's, of course, really encouraging also for next year. But we also know now, over the winter, we really have to keep pushing and keep trying to find performance and not only performance, understanding, possibly the tyres even more, because the tyres will change a bit for next year. So yeah, let's see how we are going to manage all of that. If you're not prepared, then it's better to stop already, right? I mean, I think we're all racers and we love racing. Of course it's just that it's nice to have a season like I had last year but it's also nice to have a season like I have this year. It just would be very tough if you have that every single year you know, the year I had last year but that also doesn't really happen in Formula 1 so it should be okay. No, there was not, but also that is quite a tricky call to make. You also don't want to end up… of course, you can possibly block but is that fair racing? I think not the nicest way going out of the season, like that. And it looked like Checo was catching him enough to try and actually get a move but then he lost quite a bit of time with that bit of a fuss between… was it Pierre and Alex probably? You lost quite a bit of time with that, because I was watching the screen. But yeah, unfortunate. I think, like Checo said, that second stint, because the deg was quite high on the Medium, in hindsight, probably, as a team, we could have pushed a bit more on that on that middle stint for Checo, but that's always easy to say afterwards. At the time, we thought that we had to be a little bit careful on the tyres. Again, we've had a lot of great weekends, but even in great weekends, there are always things that you can learn. Yeah, let's wait and see. We've tested a few different things so let's see what they will bring here and then get our conclusions on it. And yeah, it's important to get the first read and make sure that we already have a basic understanding before we go into next season. But again, every track is different, so yeah, it's of course always nice to run these tyres but throughout the season, you will always learn a lot about them.",Abu Dhabi,post-race,Red Bull
Sebastian Vettel,"Well, you know how it is. I wish it would have been up a couple more points. But yeah, I enjoyed the race. I think it was a bit of a different warm-up today to get into the race but once the lights go off, it's full-on race mode. I think, about today, we obviously didn't go for maybe the best strategy, so it was a shame, because I think we could have turned the Constructors’ Championship around for us. But yeah, overall obviously a big day and a big thank you for all the support. So many flags, so many smiling faces, which has been very, very special, very nice and yeah, I'm sure I'm going to miss it more than I understand right now. Obviously we then opted to stay out and you know, once the tyres were getting older, we were going backwards, but once we committed to the one-stop, I think that was it. But it was obviously the slower strategy today. So, not so enjoyable when you are in the car and you are going backwards. I was fighting through the people and had a nice battle with Daniel, but just couldn't get close enough. But yeah, I think it's nice also with him to fight the last couple of laps. And, you know, both of us finishing the points. So yeah, it's been a big weekend. Well, I don’t have that much more to say. I feel a bit empty, to be honest, it's been a big weekend. But I can only repeat, you know: I think the last two years have been very, maybe disappointing from a sporting point of view, but very, very useful and important to me in my life, a lot of things happened. A lot of things that I realised. I think it's a huge privilege being in the position that we are in and with that comes some responsibility. So I hope to pass on a little bit to the other drivers to carry on some of the good work. It's great to see that, you know, we have the power to inspire you with what we do and what we say. So I think there are far bigger and far more important things than racing in circles, but obviously it's what we love and through that if we can transfer some of the really important values that's big. And I think for that the last two years have been have been great for me. So thank you for the support. Thank you for the messages, the letters and all the love in general. So yeah, I will miss that. But it's been an absolute joy throughout my career, so thank you. Thank you.",Abu Dhabi,post-race,Aston Martin
Max Verstappen,"Yeah, it was a bit of an up and down qualifying, you know. It started off quite well. Q2 was a little bit more messy. I honestly don't know why. With that tyres set I just couldn't get the grip together. But then in Q3 it all felt a bit more normal. And yeah, we had a bit of a scare, the car turned off before the first run. So we had to reboot everything. And then we went out and both of the laps were good enough, so of course very pleased with that. But also very happy that both cars are on the front row because we know that of course we want to win the race but we also want to finish second with Checo in the championship. So that's definitely a great start for tomorrow. Yeah, I mean, it always sounds great. For sure today was amazing. I still expect it to be a good battle tomorrow, but at least we have both cars there and we can we can do what we want. Yeah, Q3 was good. Before that, it was all a bit up and down. But Q3, first run, I mean, even there, it started a bit chaotic, where I was supposed to, of course, drive out in front of Checo. But as soon as I wanted to start my engine, everything just turned off. So, we had to reboot the car. And then yeah, luckily, I still managed to get out, a bit delayed, which is also not great with the tyres. But we still managed to keep everything under control and did a good lap. So, I was happy with that. And the second one was a little bit more straightforward but it wasn't it wasn't easy to find a lot more lap time. It's just a little bit in the last sector. But I think overall this weekend for us as a team, also, we’ve been on it, the car has been quick again basically a little bit more like back to normal. We knew that we had a quick car, I think we just made a few mistakes in Brazil, in hindsight. I can't go into too much detail about it but the thing is, with the Sprint race, when you have one practice and you don't nail it there, you are stuck with it for the rest of the weekend. And that's basically what we had. And then you know it's going to be a bit of a struggle. But again, maybe we can do something better in terms of our preparation before going there. So that's again, a lesson learned. But once we got here, I think the work at the simulator paid off and immediately, I could see were in FP1, you know, Checo feeling quite happy, also Liam in the car, he seemed straightaway on it. So it means that the car is in a good window. And then when I jumped in and FP2, it was just about fine tuning a few things. No, not at all. Because as soon as I jumped in, in FP2 It was good. So, it didn't really feel like lost track time to me. It was just very up-and-down. Like the first Q1 was good but then in Q2, I put a new tyre set on and it was massively, like, rear-limited. And even when I went out again on that set, and then I just put a new tyre set on in Q3 and everything was solved again, So it’s a bit of a mystery. To try to win it you mean? Just looking after the tyres. That's going to be key. No, well, so going into the weekend, we gave Checo the option to choose what he would like:  do you want to go first or behind? He chose to go behind and that was also the plan in qualifying but like I said, I was planned to go ahead in the first run as well but my engine… yeah, everything just turned off. But luckily, we got it together for the second one. It's difficult to tell at the moment. I think, from our side, we looked good in FP2 with the long run and it seemed like both Ferrari and Mercedes seemed to struggle a little bit more at the time. But I don't know what they have done overnight so I guess we'll find out tomorrow. I think as a team, we just need to stay ahead of them, that's very clear, because that means that also Checo is ahead in the championship. Maybe the layout, but honestly it is a bit of a mystery but even for us we didn't expect to be so slow in Brazil so clearly we don't always seem to understand where we are really good or just pretty average. But a  little surprised, but I mean, who knows, maybe they focus more on the long run and sacrifice a little bit of one lap performance. You never know. Well, I think in general on average, this year, it has been a bit better to follow of course.  The only penalty with that is of course the drag is a little bit less so sometimes it seems you need a little bit of a longer DRS to try and then get by. I do think with the new layout turn  five is an improvement to attack into six. Turn nine, I think is a little bit too quick. You only can really fight if you are like side by side but even then the car on the inside with the banking, it’s tough. I like the quick corner because that's more fun and in a Formula 1 car but I think actually to have a proper braking zone and possibly like just a hairpin, I think that would have been better for racing, but at least turn five I think is an improvement.",Abu Dhabi,post-qualifying,Red Bull
Sergio Pérez,"Yeah, it’s a good starting [place]. I think we didn't make that that final step in Q3. Especially Q3 run one wasn't that good? So we were a bit behind but it's good, you know. It's good to lock out that front row for tomorrow. Max did a great job also for me, you know, we worked together as a team really strongly on that final run. So yeah, looking forward to tomorrow, which is the day that really matters. Yeah, thank you very much all the fans that are here and I really hope that tomorrow we can have a strong race. I think it’s going to be a very interesting one, you know, given how strong Ferrari will be, Mercedes, you know. With Max it will be an interesting one tomorrow. Yeah, it was a good session. It was looking better after Q2, then Q3, it didn't start that well, especially run one, wasn’t ideal.  Then the second run was quite a lot better. Not enough for pole, though. So still, I think being on the front row for the team it's a good result, especially after the weekend we come from, you know, in São Paulo where we struggled quite a bit. It's nice to be back. Yeah, it certainly did. I think we worked really well as a team today. And I could feel, especially Sector 2, it was working. What you gain, you lose a bit in Sector 3, but generally, I think certainly it was a positive thing. Yeah, it's going be a difficult race. I do expect them to be strong. So, it's going to be a close battle with Charles, so it will be an interesting one for tomorrow. It’s quite exciting. It’s great to be playing for something in the final race. So it is good. We were certainly trying different stuff yesterday, certainly in FP1. Track conditions were fairly different so going into FP2, we decided to split cars and try different stuff and we ended up coming back to a different level to Max. Yeah, nothing really to add. I think we will see a bit more than last year but fairly similar to what we've seen this year. So I think probably the degradation seems to be a bit higher, which can be a bit more interesting in the race tomorrow. So we’ll see.  I don't think anyone has done a proper long run so it will be an interesting race tomorrow.",Abu Dhabi,post-qualifying,Red Bull
Charles Leclerc,"I locked up in Turn 6/7, but to be honest, it is the place we deserve. Today the Red Bulls were stronger. But we are still in quite a good position for tomorrow. But it’s going to be close with Checo for sure. Well, I mean, I'm sure we can work together to with Carlos, I have no doubt on that. And we'll try to maximise the team result. We know Red Bull is a bit stronger on the Sunday so it’s going to be tricky, but we are going to give it all and hopefully we can get that second place in the Drivers’ and Constructors’ Championships. I mean, first, before going on holiday we need to focus on tomorrow. Obviously after the last two very difficult years for the team its’ good to have done a step forward. And it would be great for the team to get that second place in the Constructors’ especially, so I'll push for that and then we'll go into holidays, rest and hopefully come back stronger next year. Yeah, well, let's see. It's difficult to know for now. We've had a difficult FP2. During the race simulations, it felt definitely quite a bit better this morning. But we had no reference, so it's a bit of a question mark for now. I felt like we are in a better place compared to yesterday. Whether this is enough to beat the Red Bulls tomorrow I don't know yet. But we'll give it all. We put quite a lot of attention this weekend on it. So I hope not. No, as Mark said, it was really, really tricky to put the tyres in the right window, and you will get a very different feeling from one lap to another. And it was also quite a lot about management, even in Qualifying. If you were pushing First and Second Sector, then you will lose it all in Sector 3. So I tried to find that balance that I think I found in the last lap of Q3. But it wasn't enough to challenge Checo. We were also a little bit alone. I had no slipstream, so I don't know how much this… we paid the price. But yeah, overall, looking forward to tomorrow. Yeah, well, difficult to say for the strategy. I think we'll have to see once we are in the race, and what are the opportunities at that moment. Obviously, Carlos is starting right behind me and hopefully we can put a bit of pressure on Checo by doing different things. I mean, regardless of the championship, if there's an opportunity, I'll try and go for it. So yeah, I'll go for it if there's an opportunity.",Abu Dhabi,post-qualifying,Ferrari
Sebastian Vettel,"I don't know. Maybe I should ask Fernando, he went through it already! He will go through it again, I guess, at some point. But yeah, I feel okay. I mean, obviously, I guess after so many years and races, there's the routine of Thursday. But I think it's difficult in a way to grasp but I'm aware of what's happening and I'm happy about it, as far  as I can be. I will see. I guess at some point it will be a little bit different. It does feel a little bit different already today, even though, like I said, a lot of it is routine. But yeah, how much and how it will be I don't know yet. I guess you have to ask me again. If you catch me. I don't think it works that way. I don't think it's fair to pick one. So, I obviously can't speak for an hour now, and I don't really want to but I think I've been lucky that there's been so many moments to choose from. Yeah, impossible to remember everything after so many years. I guess the firsts, in a way, always stand out. But yeah, I think every time had its highlights. There were its moment, and I also enjoy the last two years, even though from a sporting point of view, maybe they weren't really a highlight. There was nothing to celebrate, no success in this regard. Still, I think, I learned a lot. I think I progressed, I grew and had a good time together with a team. We didn't get the reward on track but still, I don't think it's fair to pick only one race or one moment. I’m actually quite sorry… it’s your answer but I think Baku wasn’t a great moment, because what I did wasn’t right. But actually from that moment onwards… Yeah, a lot better. So I don’t want that moment to… not happen, if you see what I mean! Maybe we can make a deal. We’ll speak outside, when you want to get away, maybe I want to come back! Well, I think, looking back, obviously 2020 wasn't a good year for me. And then it was the first time when I was really at the point of, you know, do I have a drive? Do I want to drive? Should I stop? And I felt like I wanted to drive and I was very grateful for the opportunity that I was given, obviously, hopes were high, because the team was performing so well in 2020. And the target was to keep doing that. It came differently but I think those years have been very important for me: one for the driving, but also, maybe to have the  room and the possibility to grow even more off-track. And some of the things that I've addressed that I feel are very, very important to all of us, having had the freedom and space to do so. But also from a sporting point of view. Fernando touched on it, we were racing each other quite a lot in the last two years. I don't think I've had a lot of races where I started inside the top 10 And it's a different race, it's a lot more busy, it's more hectic, a lot more things happen. It's very clean when you start from the top five positions and you don't need to worry about it. Whereas if you start further back, anything is always possible. And also, it was showing me the effort that a team in the midfield, that you don't even know, in a way, it exists when you're always at the front, puts in a lot of effort and maybe even more effort, and doesn't get any reward. Teams but also drivers, I think the commitment is as high as it is at the front but you guys all care for the front which is the name of the game and the sport and that's how it is and how it should be. So yeah, I think lots of different aspects that taught me different lessons about our sport, my racing, but also about life. I don't know,  how old am I going to be? How old are you now? 40? 41? So I have a bit of time. Yeah, I think naturally you do look at other stuff. I don't know yet, is the answer. So, I think I quite look forward to the idea of nothing, at first, and then see what it does to me. I mean, there are lots of other things in my head as well. Other interests and ideas outside racing. But yeah, obviously I've done this for so long and it's a big part of… It's central to my life. So it will be difficult to say that I'm not going to miss it, but how much and whether then I start to look at something else, we'll see. I always liked, for some reason, rallying, but I can see it’s a major challenge, because it's so different to what we do in, let's say, classic circuit racing. So yeah, I don't know. We'll see. Big question. I don't know, I think in general, more transparency, because I think the world is opening up, F1 should follow, should lead, so more transparency. More credibility, as I think with all the claims and all the things that we're saying we're doing and wanting to do in the future, I think we need to prove that we are actually doing them, as a sport, and then from a car point of view, I would make the cars a lot lighter. I think it brings a lot of joy. By definition, if the cars are lighter we'll have less problems with tyres. It will be more physical, more exhausting, I think it would be more exciting for driving the cars. Well, I don't know yet, but I definitely thought about a lot of things and about the adrenaline as well. And to me, the peak of the adrenaline was/is always Suzuka, because the track really shows the most the cars can deliver and made me feel most alive compared to, let's say, maybe other tracks. So yeah, I will miss that and that will be impossible to replace. I can do lots of other things and I have lots of opportunities, probably. I think I'm in a very privileged and lucky position. But when it comes to adrenaline, the sort of feeling alive inside the car, when you feel the forces and the grip and everything around the track, yeah that will disappear, but I feel at some point it's going to hit all of us – except Fernando! So yeah, I think it's something we'll ultimately have to learn to deal with and find something else to maybe replace that in a little way. So yeah, we’ll see. Well, it will be more than a day now. I hope it will be much longer than a day. So I don't worry about the one day so much. But yeah, like I said, you know, I said nothing earlier. Obviously, I have plenty of ideas. But I think it's that not having a commitment, not having the race calendar that kicks off by definition in February, not having that January getting ready, visiting the team, getting ready for the new season, seeing the new car. I think a lot of things, you know, that have given me so much to hold on to in the last years, looking forward for them to disappear. Not that I hate them. I don't hate racing, I love racing. There's been many moments this year where I loved what I was doing so much. But I think I see it as a challenge. I see it as an opportunity to learn a lot about myself and to put myself in exactly that position that I haven't been before and I'm not comfortable with, because I think the truth is, after so many years, we know how to do this job, I don't want to say asleep, because that's arrogant, but I would say with a lot of routine and a lot of experience. A lot of things don't surprise you anymore. So I’m looking forward to being surprised and as I said, learn about myself, spend more time with my kids and family, learn together with them, which obviously will be a different challenge to me and a different pace. But yeah, lots of things, and give more room to maybe the things that I naturally didn't have time for. Because I was doing this. So, yeah, we'll see. It's not like I have a calendar and will say in March, this is going to happen, and in April or May this is going to happen. I think I look forward to not having the calendar and then obviously at some point I need to find a lot of things that will keep me busy because I'm a busy, busy bee, busy mind. So yeah.",Abu Dhabi,thursday,Aston Martin
Lewis Hamilton,"When I think of Seb… he was a bit of a nuisance back then! …Our friendship got better! I agree. We always had such great battles, honestly, and I was just thinking, most drivers are coming back. He’s come back [Alonso], you’re probably going to come back. We’re seeing other drivers coming back, so I’m sitting here accepting, yes,  it’s your last race… but… He’ll be back. Formula 1 has a way of sucking you back in. We’ve noticed that from so many other drivers. No? And just swap. Alternate. Who knows? We are still improving the car. We don't believe that this track will necessarily be our strongest. We think it’s suited to the others a little bit better, but I won't know ‘til I get out there, to be honest. I hope that it's like the last race. Yeah. I was just thinking of the first race we had here in 2009, which I think Seb… actually it was one of the races we were competing in again, which Seb won.  But, yeah, it's been an amazing journey, one that I'm incredibly honoured to have been on with Mercedes. And it's, I think, it's one of the longest standing drivers with a team? So, proud of that. Shows loyalty continues to be at the core of one of the many pillars of the values that we have as a team and looking forward to extending. I don’t really think about it, so I don't really have many thoughts on the last race here. I've had many great experiences here in the previous years. Even from the first race that I had here in 2009, which was the hybrid era in which I was leading and had the brake failure, which was… I remember the feeling of having to retire in that race. So I've had lots of ups and downs at this race. And, yeah, just I'm not really necessarily focused on stuff that it's behind me, and more so trying to… not control but trying to be the best I can move forwards and the days ahead. And again, just as I said, just really proud. It's crazy that I’ve been with Mercedes. They started with me when I was 13 in 1997, so it's been a long journey with them. I don't look in the past and try and think of what I could have done better necessarily, in that respect, no. Honestly, I haven't checked. So, I think I was quite lucky that there wasn't really a huge amount of damage. I don't really know how there wasn't damage, obviously, because it was a decent knock. I think I lost one of the wheel-shield things, which I think lost a little bit performance. But obviously with the next tyre change that came back. The team have not told me that there was anything particular, so I don't think I was down. Shoot, I don't really remember. I just thought it was a really funny picture. I mean, just sitting here, we've got the three oldest drivers here. And then you are the youngest here. How old are you? Are you really 22? It's good to have a good fake ID. But no, it was just a funny picture just to think of how time travels and yeah, jeez, we've been here for a long time. I don't think so. I think at the beginning maybe but yeah, I think my love for the sport is still the same. And I think my commitment and time here hopefully is showing that. I think it's just been a much, much different year, one that naturally none of us in the team expected. And it's taught us lessons that we, again, hadn't realised that we didn't have or hadn't experienced in the past. And I think it's just made us stronger. I think it's been a really positive year in that respect. What keeps me going? I don’t know. It’s a question I have myself probably. Maybe it's that Fernando and Seb are still here. But now obviously we're going to be losing Seb. I don't know. I think I still love what I'm doing. I still love the challenge every year trying to evaluate at the end where you've been, what you've learned, leave the crap behind and then you know take the good bits forward. How can you evolve to be better each time? How can you be healthier? How can you expand your mind and your body and spirit, so that I'm fully focused on doing that all the time. And yeah, we're talking about the adrenaline rush. I mean, naturally, we're all adrenaline seekers, and I don't think that's… I'm sure Seb’s going to have to find something else because I think driving the farm truck is not going to bring that! Your tractor, you said you had a tractor. Maybe he’ll come skydiving with me. I tried to talk him into it, but he said he's got kids, so it's probably not going to happen…",Abu Dhabi,thursday,Mercedes
Fernando Alonso,"Yeah, I mean, it's going to be strange to don't have him in next year and the first race. But yeah, I mean, we share, as you said, so many things. Over the last 15 years, sometimes we fought for championships, sometimes for seven places, even in Japan to the finish line, and we still obviously always enjoy every single battle and, and respect each other as much as we could. So yeah, I think my career is going to be linked to Sebastian in a way because we fought for many great things and in the best seasons of our life, probably, and even though it was on his side, the outcome always. I think it's going be very linked, our two names – or my name in Sebastian’s career, and vice versa. No, not yet. I will ask on Sunday evening. Let's see. I think it has been up and down a little bit for us in terms of performance, but also reliability has been our weakest point. So, let's see if we can finish the season on a high and with a good result here. About how competitive we can be, I don't think that we can repeat the Brazil performance. I don't think that we will be that close to the top three but hopefully if we are in front of the midfield that's already something for us, so that's the target ,finishing the race with a good result and yeah enjoy every single lap on Sunday. Great obviously, coming back to the sport is never a guarantee that you will be okay and competitive and you still enjoy everything in Formula 1. So I had some concerns, obviously, two years ago, when I did the demo here, before the Young Driver test in 2020 and yeah, I think last year it was not maybe 100% happy with the performance and with how the season went. This year, I'm much more happy with the car and with the performance itself and much more I think ready for the next challenge. So, you cannot underestimate coming back to the sport – in case Seb wants some advice – but you need a few races or even one full season to feel 100 per cent again and is what happened to me but I'm happy now that I'm I feel a very good level. Sure. I don't know what his emotions are now but in 2018, for me, even the front wing, I don’t know if you noticed, it was written ‘see you later’. It was not a bye-bye. So in a way, in my head, it was always the 2021 rules, an opportunity to come back. I had in my head different challenges at that point. I wanted to race in Daytona, in Dakar, in Le Mans.  I wanted to fight for a World Endurance Championship. I don't know, I had different things, and Formula 1 was not a priority, or I didn't have my head in Formula 1 anymore. But I love Formula 1 And I felt that in 2021 It could be an opportunity with the new rules and maybe everything re-shuffles a little bit, in terms of how the teams are, or the competitiveness of them. So yeah, I mean, I fulfill all my boxes in those years away from Formula 1, and I still watch the races at home. And yeah, the rules. They postponed the rules one year for 2022. But I came in 2021 anyway.",Abu Dhabi,thursday,Alpine
